,userid,month,points_per_month,high_rank,low_rank,attribute1,attribute2
0,8009bd3a-2c2c-465e-b7cb-7e051d399572,1.0,-6995,441,1,0,B
1,df26b16b-41e6-414f-8346-36ced8fdcd37,1.0,-5560,440,2,0,C
2,beb9aef6-0ab5-4718-b2f1-199963fd542e,1.0,-4699,439,3,0,A
3,874a081f-0676-4319-9219-4c864ac5a401,1.0,-4376,438,4,0,A
4,c2926ad9-f9c8-4e32-a792-dd0d2b082bde,1.0,3054,4,438,0,C
5,cea0daaf-28b7-44ab-a225-cabe0513fd65,1.0,3166,3,439,1,C
6,c146f69c-bffb-44dc-84bd-faf9360144cd,1.0,3403,2,440,0,C
7,2d172cc1-15b2-4442-9fa6-82b30d77683d,1.0,4505,1,441,0,C
8,df26b16b-41e6-414f-8346-36ced8fdcd37,5.0,-14033,617,1,0,C
9,a257c0ba-5358-41de-a638-b2e45b20392e,5.0,-6314,616,2,0,B
10,7d603e7d-f1eb-4ad5-9afd-e96f239539a6,5.0,-5049,615,3,0,B
11,72cc554f-3567-42b6-b47f-38fc070c811b,5.0,-4473,614,4,0,B
12,8009bd3a-2c2c-465e-b7cb-7e051d399572,5.0,10055,4,614,0,B
13,e9260040-6a87-4a02-96d5-f76012899142,5.0,10701,3,615,0,C
14,2d172cc1-15b2-4442-9fa6-82b30d77683d,5.0,11017,2,616,0,C
15,dd77d0a4-c35c-4e36-867f-339d4f114c2e,5.0,18418,1,617,1,C
16,24ca7bdc-0d77-4b56-a83a-30e37825bdbf,6.0,-18987,638,1,0,C
17,ac8256fa-d3ad-4952-9bd1-1a9140dc29d2,6.0,-16209,637,2,0,C
18,ac7b8df8-5b01-4e34-82de-61010d260941,6.0,-13684,636,3,0,B
19,693d4107-f6eb-4529-9273-0bb5790737a3,6.0,-13493,635,4,0,C
20,bd0490a9-daeb-4ee3-be3e-d9e6e97ba4b3,6.0,24793,4,635,0,C
21,465c84db-04d6-4d03-86e3-e0cecf5b05fa,6.0,27101,3,636,0,C
22,c2926ad9-f9c8-4e32-a792-dd0d2b082bde,6.0,37374,2,637,0,C
23,dd77d0a4-c35c-4e36-867f-339d4f114c2e,6.0,41021,1,638,1,C
24,96cdd24d-a68d-4cf5-b06d-926bfaf7a038,2.0,-7126,601,1,0,B
25,3a2dbbbe-368b-420c-bb5b-4511fd8a82d5,2.0,-6163,600,2,0,B
26,2da64b73-2244-44bd-b196-dc0c4382e513,2.0,-5998,599,3,0,B
27,4bba037c-d000-48c0-a6ec-2d9c51070d43,2.0,-5711,598,4,0,A
28,3528cdd0-67ad-4b8b-a5b5-855a933c1c66,2.0,10377,4,598,0,C
29,dd77d0a4-c35c-4e36-867f-339d4f114c2e,2.0,10891,3,599,1,C
30,2f88e915-6a2a-4023-ab33-3c5923f54125,2.0,13747,2,600,0,C
31,424fc967-5e61-4e77-afd8-619b03cec9e4,2.0,15006,1,601,1,C
32,9e77e06e-5cd6-4cfb-a921-42f99f4ee1bf,3.0,-4955,612,1,0,A
33,fd11ebf7-ebc3-4d6d-bdd9-765f3dbb9418,3.0,-4497,611,2,0,A
34,4fb30fb0-76bb-4baa-a2fb-43c4304f5b79,3.0,-4311,610,3,0,A
35,f522da7f-488b-49d1-8b1b-f5d5c0573ff5,3.0,-4296,609,4,0,C
36,9370ca28-6833-496d-837b-07b1f19b0c5c,3.0,6699,4,609,1,C
37,bd0490a9-daeb-4ee3-be3e-d9e6e97ba4b3,3.0,7332,3,610,0,C
38,8009bd3a-2c2c-465e-b7cb-7e051d399572,3.0,9042,2,611,0,B
